2024-01-28 15:47:12 INFO _PatternLayout2   <clinit> main       0 21 Log4j setup is ready 
2024-01-28 15:47:12 DEBUG _PatternLayout2       main main       12 30 Start of main(-) method 
2024-01-28 15:47:13 DEBUG _PatternLayout2       main main       558 36 JDBC driver class is loaded 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1626 38 Connection establish with DB s/w 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1801 41 JDBC statement object is created 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1904 45 SQL query is send to DB s/w for execution and RS obj is generated 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1905 51 ResultSet obj is processed 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1906 67 Closing JDBC object 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1907 71 ResultSet object is closed 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1907 80 Statement object is closed 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1911 89 Connection object is closed 
2024-01-28 15:47:14 DEBUG _PatternLayout2       main main       1911 96 end of main(-) method 
